id,funcname,300,400,512,600,768,860,1024,1280,1560,2048
0,kernel_host_7004053664364030334,37319256,28852246,22854370,20097762,16206103,15886353,13149890,11970793,10372717,9162993
1,external_el_,40601523,39047001,40131054,44367845,45769664,41011636,42400514,60324328,40097680,42251596
2,get_time_,7460,7210,7316,8070,7731,7471,7544,7949,7193,7900
3,kernel_host_6151473719594853315,9495866,7330946,5924845,5265176,4417972,4074901,3439130,3106830,2666456,2350574
4,kernel_host_2895507310617246303,5252090,4032535,3091106,2751064,2253814,2306116,1670984,1532829,1285961,1099566
5,bcond6_,183307810,165852343,183944274,195051714,175484597,190622012,199222831,214744792,222975319,236016280
6,bcond3_u_,58621626,68036813,92597936,64239757,53095227,63686177,47235486,60316840,64516130,69859554
7,baropg_,2233025933,1739370274,1376616014,1297824245,1008245513,974339455,927950382,742486460,676989029,611504864
8,kernel_host_2403034596777470961,141035628,104111249,82988041,69236768,55069474,51680889,39829033,33982103,28401148,21857293
9,kernel_host_11974978034716845838,165223774,121767398,95901042,80271042,60108295,61481774,45645171,38957110,32771550,24908621
10,kernel_host_5613771957553797452,2110717,1625800,1290673,1187407,935692,918560,775884,709298,619010,551845
11,kernel_host_6678857161791714567,3669002,2826212,2214813,1946310,1567825,1519592,1238022,1100678,937816,813180
12,kernel_host_1406632355128019739,25797986,19747883,15471997,13658980,10808195,10455449,8484786,7512294,6536461,5427260
13,mpi_get_processor_name_,1086,1216,1507,1321,1214,1156,1390,1142,1092,1118
14,init_fields_,52627,52697,52962,52316,51658,52335,55099,52772,52594,53037
15,kernel_host_18070178787332596206,65587890,48364840,39435534,32471575,24965065,24220671,18744991,15938777,13234062,10279750
16,internal_t_,7448681284,5535551159,4074089916,3532904984,2835134128,2805125210,2335283684,1879489707,1655395786,1355360412
17,kernel_host_561946464185660303,2810491,1909496,1556194,1383737,1053273,994584,800654,653632,677383,434794
18,kernel_host_11078693922887474255,25560098,19472944,15691137,14055235,11436630,11396780,9579138,8893204,7892040,7116997
19,kernel_host_18092185543702176767,83288514,62816745,48458884,42062223,31958478,31778110,24188669,20988450,17424778,13476628
20,kernel_host_669428828628634244,97577729,72025176,57212192,48227080,36843098,36045456,27973080,23870991,19961745,15700373
21,kernel_host_17600160524251074110,101939554,71486110,57492803,49861511,39340729,36823740,28659485,24571239,20828644,16206313
22,kernel_host_2668086296973077183,42706408,30022284,24648922,20205747,16416888,15152627,11547450,10371122,8494843,6590924
23,kernel_host_3203235421309124674,4831834,3735933,2895942,2601430,2040927,2013203,1628950,1457955,1240059,1053264
24,read_init_,17122625894,14892881352,14450790618,12999450342,11693184872,11367837634,10972416653,10320489663,10382770529,10407593356
25,kernel_host_14913372915240065947,323865771,241052462,186140773,161281111,121328977,123248920,91127198,80774734,66909070,51257389
26,bcond2_va_,17870073,17377528,16165975,17111977,16333956,16708659,15915600,16327738,16585179,16401300
27,kernel_host_14177333148799137211,59123049,41954809,33964913,28173590,22294186,21149477,15986189,14074499,11757959,9057734
28,kernel_host_3801595614667731380,157865597,114448233,90385896,76798199,59490750,57373377,43662373,37773488,31543513,24648982
29,bcond1_,36750449,41538911,64019465,36554189,36455631,37828084,37214863,42271418,42047285,59811473
30,kernel_host_17675233011309389831,47390282,35777046,28028611,24109103,18409282,18327354,13748363,12059559,10242530,7858450
31,kernel_host_2769894380674479461,26872466,20906119,16766501,15056228,12422310,11615774,10029171,8966849,7586701,6725871
32,kernel_host_13678541340789269977,16484795,12634364,10197544,9153236,7661668,7355436,6311594,5790176,5116639,4578146
33,kernel_host_5189765816641970822,6952601,5467570,4256597,3802625,3051509,2913732,2452957,2202463,1855884,1604295
34,kernel_host_17156898055338419057,50082501,36974681,29112782,24760824,19265168,18705889,14343807,12447828,10473651,8079441
35,bcond3_v_,59570041,51904479,69766903,53040375,47967784,51668889,53262355,53871677,55837753,78597519
36,kernel_host_17506849007025892946,6685257,5137399,4125160,3715533,3026609,2920799,2515144,2331849,2100975,1876658
37,kernel_host_11313705801899030046,39619002,28613653,24086286,19517900,15049344,14455743,10807506,9568599,7915549,6224025
38,kernel_host_3056794744720896216,50955674,35892377,29902988,24976048,19142563,18467097,14152486,12326377,10373664,8015820
39,internal_w_,1291104881,1016078008,766265909,700513520,530890113,491776066,441751924,358465060,310958729,268946279
40,kernel_host_5341804159594033185,144925914,101842079,82819616,69895369,53741272,53159178,39357104,34415704,28513347,22108961
41,kernel_host_11243618430834388333,8667607,6612223,5312253,4790192,3785235,3683850,3150710,2837697,2519030,2295944
42,kernel_host_7308789819381199256,31799981,22637412,18598573,15232463,11819620,11682470,8655212,7567396,6175185,4882462
43,kernel_host_6065031066545417016,48557543,34455321,28056093,23334925,18601740,17338800,13449986,11553429,9552569,7421320
44,MPI_Get_count,299676,299427,307379,858125,309134,307374,858939,317605,868169,320487
45,kernel_host_4023198913931606276,1372737,1065675,889210,792997,682929,667492,591979,557863,539489,459948
46,MPI_Irecv,106982,109117,98879,109288,108251,115620,107517,118195,116272,121121
47,kernel_host_2077031470031862986,126431265,95083582,74255860,63268999,49166288,47958147,36805184,31588884,26398057,20451814
48,kernel_host_11785900214035726808,81793678,57873929,46375887,39043660,31034440,29123007,22074668,19264108,16002476,12548395
49,bcond4_,526753508,458093953,421369530,477266187,364259430,377985078,380664003,428375334,400238749,419014356
50,kernel_host_3904638810941265799,23456046,16715030,13781145,11199428,8983763,8593022,6425978,5631936,4668655,3636108
51,bcond2_ua_,80269862,85100020,81327144,70394901,82414069,76717808,73595811,95194244,83035128,110033708
52,kernel_host_9828195426201177678,68644098,48381873,39743737,33082716,26177360,24538728,18768419,16451254,13780635,10699020
53,kernel_host_10447168533120541692,6363465,4876598,3991462,3558296,3042292,3114792,2480964,2266494,2021030,1833846
54,kernel_host_13527600874346049264,56688786,40362358,33178713,27826293,21578867,20868107,15512002,13775367,11295989,8650510
55,kernel_host_4089695605558063454,1476530,1138710,1103500,814284,683474,663651,593799,526551,477151,428899
